il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Kayseri,Pýnarbaþý,1.0,1.2283165437006058,1.0,-0.22831654370060583,dengede
Osmaniye,Bahçe,1.0,1.233589187721143,1.0,-0.2335891877211429,dengede
Sakarya,Kaynarca,1.0,1.2395258469635522,1.0,-0.23952584696355217,dengede
Konya,Seydiþehir,2.0,2.2485380566232567,2.0,-0.24853805662325668,dengede
Adana,Seyhan,11.0,11.253339757568606,11.0,-0.2533397575686056,dengede
Trabzon,Sürmene,1.0,1.2545644233175803,1.0,-0.25456442331758034,dengede
Çanakkale,Gökçeada,1.0,1.275230892126224,1.0,-0.2752308921262241,dengede
Malatya,Battalgazi,5.0,5.276023215237187,5.0,-0.27602321523718665,dengede
Kayseri,Tomarza,1.0,1.2762474930135128,1.0,-0.2762474930135128,dengede
Þanlýurfa,Halfeti,1.0,1.2778446954267846,1.0,-0.2778446954267846,dengede
Þanlýurfa,Haliliye,5.0,5.281767619290811,5.0,-0.28176761929081096,dengede
Bilecik,Bozüyük,2.0,2.288386732694399,2.0,-0.28838673269439896,dengede
Mersin,Gülnar,1.0,1.2889995933098795,1.0,-0.28899959330987945,dengede
Uþak,Sivaslý,1.0,1.289109959135045,1.0,-0.289109959135045,dengede
Mardin,Derik,1.0,1.2961371041405427,1.0,-0.29613710414054273,dengede
Ankara,Bala,1.0,1.2961819347590016,1.0,-0.29618193475900156,dengede
Ankara,Kalecik,1.0,1.2964934455079233,1.0,-0.29649344550792334,dengede
Trabzon,Beþikdüzü,1.0,1.3007815666925442,1.0,-0.3007815666925442,dengede
Çorum,Ýskilip,1.0,1.305132532931042,1.0,-0.3051325329310419,dengede
Giresun,Görele,1.0,1.3208903879251093,1.0,-0.32089038792510927,dengede
Çorum,Alaca,1.0,1.3230545536973426,1.0,-0.3230545536973426,dengede
Yozgat,Sorgun,2.0,2.3311862204166793,2.0,-0.33118622041667933,dengede
Trabzon,Maçka,1.0,1.332477339445012,1.0,-0.332477339445012,dengede
Þanlýurfa,Birecik,2.0,2.336427693681256,2.0,-0.336427693681256,dengede
Kayseri,Hacýlar,1.0,1.3377490157062168,1.0,-0.33774901570621685,dengede
Erzurum,Hýnýs,1.0,1.3438624169832463,1.0,-0.34386241698324627,dengede
Trabzon,Of,1.0,1.3458238912147928,1.0,-0.34582389121479284,dengede
Yozgat,Sarýkaya,1.0,1.3458435733476088,1.0,-0.34584357334760885,dengede
Þanlýurfa,Akçakale,1.0,1.3477378575960932,1.0,-0.3477378575960932,dengede
Denizli,Çameli,1.0,1.3582932072662048,1.0,-0.35829320726620484,dengede
Sakarya,Kocaali,1.0,1.3605218939835488,1.0,-0.36052189398354884,dengede
Adana,Yumurtalýk,1.0,1.3674599750523697,1.0,-0.3674599750523697,dengede
Karaman,Ermenek,1.0,1.3700900617617666,1.0,-0.3700900617617666,dengede
Tekirdað,Muratlý,1.0,1.3815608594757278,1.0,-0.3815608594757278,dengede
Kýrklareli,Lüleburgaz,4.0,4.38426364834346,4.0,-0.3842636483434596,dengede
Adana,Pozantý,1.0,1.3844987913393627,1.0,-0.3844987913393627,dengede
Samsun,Canik,2.0,2.3925329751525033,2.0,-0.3925329751525033,dengede
Van,Tuþba,2.0,2.39389918216439,2.0,-0.39389918216439,dengede
Balýkesir,Marmara,1.0,1.3968626301918088,1.0,-0.3968626301918088,dengede
Bolu,Gerede,1.0,1.3971258489070617,1.0,-0.3971258489070617,dengede
Aksaray,Ortaköy,1.0,1.4105880269560462,1.0,-0.41058802695604624,dengede
Ýstanbul,Sancaktepe,5.0,5.411058724865953,5.0,-0.41105872486595274,dengede
Zonguldak,Kilimli,1.0,1.415695227960608,1.0,-0.4156952279606081,dengede
Burdur,Çavdýr,1.0,1.4172073721188951,1.0,-0.41720737211889514,dengede
Trabzon,Arsin,1.0,1.4210524061901337,1.0,-0.42105240619013373,dengede
Þanlýurfa,Harran,1.0,1.421241143001789,1.0,-0.42124114300178905,dengede
Þanlýurfa,Hilvan,1.0,1.4276853082609624,1.0,-0.4276853082609624,dengede
Eskiþehir,Sivrihisar,1.0,1.42920524621391,1.0,-0.42920524621391,dengede
Ýzmir,Menderes,3.0,3.4341343741169457,3.0,-0.43413437411694566,dengede
Afyonkarahisar,Sinanpaþa,1.0,1.436527946683334,1.0,-0.43652794668333406,dengede
Ýzmir,Selçuk,2.0,2.43942248935777,2.0,-0.43942248935776984,dengede
Antalya,Korkuteli,2.0,2.442491959435669,2.0,-0.4424919594356691,dengede
Balýkesir,Gömeç,1.0,1.4428431338173169,1.0,-0.4428431338173169,dengede
Diyarbakýr,Ergani,2.0,2.443219896046452,2.0,-0.4432198960464522,dengede
Denizli,Acýpayam,2.0,2.448601213325155,2.0,-0.4486012133251549,dengede
Adýyaman,Kahta,2.0,2.4493841316585003,2.0,-0.44938413165850033,dengede
Sakarya,Serdivan,3.0,3.449731750513504,3.0,-0.4497317505135041,dengede
Bursa,Orhaneli,1.0,1.4547353528013558,1.0,-0.4547353528013558,dengede
Antalya,Alanya,7.0,7.458376592192424,7.0,-0.4583765921924243,dengede
